         31869 function calls (28269 primitive calls) in 0.620 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       23    0.000    0.000    0.595    0.026 utils.py:40(ask_question_json)
        1    0.000    0.000    0.001    0.001 Game.py:30(__init__)
       92    0.000    0.000    0.000    0.000 threading.py:1306(current_thread)
       23    0.000    0.000    0.001    0.000 protocol.py:23(send_json)
       16    0.000    0.000    0.000    0.000 Player.py:79(<listcomp>)
       92    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
      369    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       92    0.000    0.000    0.000    0.000 __init__.py:119(getLevelName)
       92    0.000    0.000    0.000    0.000 {built-in method time.time}
       92    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
       92    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      276    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       10    0.000    0.000    0.009    0.001 __init__.py:1424(debug)
      184    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       92    0.000    0.000    0.000    0.000 threading.py:1031(name)
       69    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      184    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       92    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        6    0.000    0.000    0.000    0.000 Game.py:206(__repr__)
      228    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       33    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       14    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
        2    0.000    0.000    0.615    0.308 Game.py:121(actions)
       23    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       42    0.000    0.000    0.000    0.000 Game.py:223(<listcomp>)
        6    0.000    0.000    0.000    0.000 Game.py:211(<listcomp>)
       10    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
        2    0.000    0.000    0.619    0.310 Game.py:168(tour)
       23    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 Game.py:148(fantom_scream)
      190    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       92    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x10a83f3a0}
       16    0.000    0.000    0.000    0.000 Player.py:74(get_adjacent_positions)
       20    0.000    0.000    0.000    0.000 Game.py:150(<setcomp>)
        3    0.000    0.000    0.000    0.000 random.py:293(shuffle)
       23    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       92    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
       10    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        8    0.000    0.000    0.000    0.000 Player.py:332(<listcomp>)
       14    0.000    0.000    0.000    0.000 Player.py:82(get_adjacent_positions_from_position)
        1    0.000    0.000    0.620    0.620 Game.py:181(lancer)
       46    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       10    0.000    0.000    0.000    0.000 random.py:285(choice)
        2    0.000    0.000    0.000    0.000 Game.py:149(<listcomp>)
       64    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 Game.py:38(<setcomp>)
       67    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.000    0.000 Player.py:49(<listcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       33    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        2    0.000    0.000    0.000    0.000 Game.py:166(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:100(<listcomp>)
        1    0.000    0.000    0.000    0.000 Game.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:496(close)
        2    0.000    0.000    0.000    0.000 Game.py:188(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:180(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 Player.py:278(<listcomp>)
        1    0.000    0.000    0.000    0.000 Player.py:184(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Game.py:106(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


